country;location;public_spendingPRY_NTRY2013;public_spendingPRY_TRY2013;public_spendingTRY2013;private_spendingPRY_NTRY2012;private_spendingPRY_NTRY2013;private_spendingPRY_NTRY2014;private_spendingPRY_TRY2012;private_spendingPRY_TRY2013;private_spendingPRY_TRY2014;private_spendingTRY2012;private_spendingTRY2013;private_spendingTRY2014;reading2000;reading2003;reading2006;reading2009;reading2012;reading2015;maths2003;maths2006;maths2009;maths2012;maths2015;science2006;science2009;science2012;science2015;GDP_2000;GDP_2001;GDP_2002;GDP_2003;GDP_2004;GDP_2005;GDP_2006;GDP_2007;GDP_2008;GDP_2009;GDP_2010;GDP_2011;GDP_2012;GDP_2013;GDP_2014;GDP_2015;GDPpc_2000;GDPpc_2001;GDPpc_2002;GDPpc_2003;GDPpc_2004;GDPpc_2005;GDPpc_2006;GDPpc_2007;GDPpc_2008;GDPpc_2009;GDPpc_2010;GDPpc_2011;GDPpc_2012;GDPpc_2013;GDPpc_2014;GDPpc_2015;life_expectancy;st2staffL0;st2staffL0_C1;st2staffL0_C2;st2staffL1;st2staffL2;st2staffL2_3;st2staffL3;st2staffL4;st2staffL5;st2staffL5T8;st2staffL6T8;innovationCCL;innovationCFLMAT;innovationCFLSCI;innovationCGL4;innovationCGL8;innovationCOV;innovationCSL;ineqGINI_1987;ineqGINI_1988;ineqGINI_1989;ineqGINI_1990;ineqGINI_1991;ineqGINI_1992;ineqGINI_1993;ineqGINI_1994;ineqGINI_1995;ineqGINI_1996;ineqGINI_1997;ineqGINI_1998;ineqGINI_1999;ineqGINI_2000;ineqGINI_2001;ineqGINI_2002;ineqGINI_2003;ineqGINI_2004;ineqGINI_2005;ineqGINI_2006;ineqGINI_2007;ineqGINI_2008;ineqGINI_2009;ineqGINI_2010;ineqGINI_2011;ineqGINI_2012;ineqGINI_2013;ineqGINI_2014;ineqP50P10_1987;ineqP50P10_1988;ineqP50P10_1989;ineqP50P10_1990;ineqP50P10_1991;ineqP50P10_1992;ineqP50P10_1993;ineqP50P10_1994;ineqP50P10_1995;ineqP50P10_1996;ineqP50P10_1997;ineqP50P10_1998;ineqP50P10_1999;ineqP50P10_2000;ineqP50P10_2001;ineqP50P10_2002;ineqP50P10_2003;ineqP50P10_2004;ineqP50P10_2005;ineqP50P10_2006;ineqP50P10_2007;ineqP50P10_2008;ineqP50P10_2009;ineqP50P10_2010;ineqP50P10_2011;ineqP50P10_2012;ineqP50P10_2013;ineqP50P10_2014;ineqP90P10_1987;ineqP90P10_1988;ineqP90P10_1989;ineqP90P10_1990;ineqP90P10_1991;ineqP90P10_1992;ineqP90P10_1993;ineqP90P10_1994;ineqP90P10_1995;ineqP90P10_1996;ineqP90P10_1997;ineqP90P10_1998;ineqP90P10_1999;ineqP90P10_2000;ineqP90P10_2001;ineqP90P10_2002;ineqP90P10_2003;ineqP90P10_2004;ineqP90P10_2005;ineqP90P10_2006;ineqP90P10_2007;ineqP90P10_2008;ineqP90P10_2009;ineqP90P10_2010;ineqP90P10_2011;ineqP90P10_2012;ineqP90P10_2013;ineqP90P10_2014;ineqP90P50_1987;ineqP90P50_1988;ineqP90P50_1989;ineqP90P50_1990;ineqP90P50_1991;ineqP90P50_1992;ineqP90P50_1993;ineqP90P50_1994;ineqP90P50_1995;ineqP90P50_1996;ineqP90P50_1997;ineqP90P50_1998;ineqP90P50_1999;ineqP90P50_2000;ineqP90P50_2001;ineqP90P50_2002;ineqP90P50_2003;ineqP90P50_2004;ineqP90P50_2005;ineqP90P50_2006;ineqP90P50_2007;ineqP90P50_2008;ineqP90P50_2009;ineqP90P50_2010;ineqP90P50_2011;ineqP90P50_2012;ineqP90P50_2013;ineqP90P50_2014;ineqS80S20_1987;ineqS80S20_1988;ineqS80S20_1989;ineqS80S20_1990;ineqS80S20_1991;ineqS80S20_1992;ineqS80S20_1993;ineqS80S20_1994;ineqS80S20_1995;ineqS80S20_1996;ineqS80S20_1997;ineqS80S20_1998;ineqS80S20_1999;ineqS80S20_2000;ineqS80S20_2001;ineqS80S20_2002;ineqS80S20_2003;ineqS80S20_2004;ineqS80S20_2005;ineqS80S20_2006;ineqS80S20_2007;ineqS80S20_2008;ineqS80S20_2009;ineqS80S20_2010;ineqS80S20_2011;ineqS80S20_2012;ineqS80S20_2013;ineqS80S20_2014;ineqS90S10_1987;ineqS90S10_1988;ineqS90S10_1989;ineqS90S10_1990;ineqS90S10_1991;ineqS90S10_1992;ineqS90S10_1993;ineqS90S10_1994;ineqS90S10_1995;ineqS90S10_1996;ineqS90S10_1997;ineqS90S10_1998;ineqS90S10_1999;ineqS90S10_2000;ineqS90S10_2001;ineqS90S10_2002;ineqS90S10_2003;ineqS90S10_2004;ineqS90S10_2005;ineqS90S10_2006;ineqS90S10_2007;ineqS90S10_2008;ineqS90S10_2009;ineqS90S10_2010;ineqS90S10_2011;ineqS90S10_2012;ineqS90S10_2013;ineqS90S10_2014;vTPercentFem;vTAge;vTYExp;vTPercentCompleteTrain;vTPercentFemPrincipals;vTAgePrincipals;vTYExpPrincipals;vTBelieveProfValInSocPrincipals;vTSatisfPrincipals;vTFI;vTMentor;vTMentorToOther;vTProfDev;vTNeedICT;vTNeedSN;vTFB1;vTFB2;vTEvalSchool;vTEvalClass;vTtimepW;vTtimePrep;vTTime1;vTTime2;vTTime3;vtTimeTeaching;vTBelieveHelpStudentsValueLearning;vTBelieveHelpStudentsThinkCritic;vTBelieveProfValInSoc;vTSatisf;valueLOWSRY_AVGAGE;valueLOWSRY_WORK
Denmark;DNK;4.9;7.2;2.3;4.7;4.6;;;6.4;;;1.7;;497;492;494;495;496;500;514;513;503;500;511;496;499;498;502;152926.9;158176.4;164720.4;165945.7;177981.5;185074.5;202903.3;212740.5;226767.5;223027.8;239009.5;247352.3;250524.6;262605.3;270028.1;278606.6;28648.73;29527.04;30639.95;30787.7;32941.23;34152.88;37318.98;38963.46;41283;40381.64;43088.06;44407.95;44808.54;46785.19;47851.87;49033.19;80.8;10.4;12;9.7;11.9;11;12.1;13.1;;22.9;14.3;13.7;40.09231;38.43011;38.89671;35.32713;37.29837;36.934;32.19655;;;;;;;;;;;;;;;;;;;;;;;;;.251;.249;.254;;;;;;;;;;;;;;;;;;;;;;;;;;1.8;1.7;1.7;;;;;;;;;;;;;;;;;;;;;;;;;;2.9;2.8;2.9;;;;;;;;;;;;;;;;;;;;;;;;;;1.6;1.6;1.6;;;;;;;;;;;;;;;;;;;;;;;;;;3.6;3.5;3.6;;;;;;;;;;;;;;;;;;;;;;;;;;5.2;5.2;5.3;;59.6;45;16.1;93.5;32.4;52.9;12.6;39.6;98.3;26.6;4.2;12.7;86.4;18.7;27.7;47.9;49.9;91;90.7;18.9;7.9;3.5;6;9.8;84.1;96.6;92.8;18.4;92.9;45;16.1
Spain;ESP;2.7;3.7;1;3.1;3;;4.3;4.3;;1.3;1.3;;493;481;461;481;488;496;485;480;483;484;486;488;488;496;493;872912.5;938063.6;1009398;1056990;1124493;1209299;1368902;1473681;1537767;1503254;1489723;1498907;1496106;1521282;1565844;1612868;21524.48;23010.93;24367.75;25049.42;26236.9;27696.46;30858.58;32577.62;33441.94;32420.34;31994.06;32071.58;31991.05;32650.29;33700.08;34740.62;83.3;13.2;9.4;15.1;13.5;11.8;11.5;11.3;;11.3;12.9;13.4;;;;;;;;;;;;;;;;;;;;;;;;;.332;.324;.316;.324;.328;.334;.34;.342;.335;.346;;;;;;;;;;;;;;;;;;;2.3;2.4;2.3;2.3;2.3;2.4;2.4;2.4;2.4;2.6;;;;;;;;;;;;;;;;;;;4.8;4.8;4.4;4.6;4.6;4.8;4.9;5.1;4.9;5.4;;;;;;;;;;;;;;;;;;;2;2;1.9;2;2;2;2.1;2.1;2;2.1;;;;;;;;;;;;;;;;;;;6;5.8;5.4;5.6;5.8;6.1;6.1;6.4;6.1;6.7;;;;;;;;;;;;;;;;;;;10.7;10.3;8.9;9.3;9.8;10.9;11;12;11.5;12.7;;58.8;45.6;18.3;97.5;44.7;49.4;7.9;11;97.5;35.3;3.8;6.8;84.3;14.1;21.8;38.2;45.4;63.7;59.3;18.6;6.6;6.1;7.4;14.7;77.2;74.1;78.9;8.5;95.1;45.6;18.3
Estonia;EST;3.1;4.5;1.4;3.2;3.1;;4.8;5.2;;1.6;2;;;;501;501;516;519;;515;512;521;520;531;528;541;534;13151.24;14334.27;15987.51;17906.98;19661.07;22375.69;25951.78;29435.53;30303.84;27388.7;28791.05;32579.43;34419.84;36191.3;37554.6;38107.57;9385.03;10292.43;11555.84;13021.36;14390.01;16466.03;19213.58;21919.38;22641.84;20505.13;21593.83;24501.34;25973.31;27413.5;28541.27;29016.65;77.2;;;;12.9;9.9;12.2;14.6;;;15.1;15.1;;;;;;;;;;;;;;;;;;;;;;;;;.349;.338;.342;.316;.32;.321;.326;.332;.338;.361;;;;;;;;;;;;;;;;;;;2.3;2.2;2.2;2.2;2.1;2.1;2.1;2.1;2.1;2.4;;;;;;;;;;;;;;;;;;;5;4.7;4.5;4.5;4.3;4.4;4.5;4.5;4.7;5.4;;;;;;;;;;;;;;;;;;;2.2;2.1;2.1;2;2;2.1;2.1;2.1;2.2;2.3;;;;;;;;;;;;;;;;;;;6.3;5.9;5.8;5.3;5.2;5.3;5.5;5.7;5.8;6.7;;;;;;;;;;;;;;;;;;;11.2;9.8;9.6;8.2;8.1;8.3;9.2;9.4;9.6;11.3;;84.5;47.9;21.6;94.4;60.2;52.2;12.1;11.8;96.4;19.4;3.3;9.1;93;24.1;19.7;46.4;54.1;98.3;98.6;20.9;6.9;4.3;5.5;8.8;84.4;86;74.8;13.7;90;47.9;21.6
Finland;FIN;4;6;2;3.9;3.9;;5.8;5.7;;1.8;1.8;;546;543;547;536;524;526;544;548;541;519;511;563;554;545;531;138372;144404.8;148566.4;151089.7;162806;167840.5;181069.1;199323.2;212373.4;202176.1;208164;219214;219916.3;224797.2;226795.9;231435.1;26732.36;27834.38;28567.17;28983.25;31139.97;31993.38;34382.6;37688.5;39969.39;37868.5;38811.95;40683.34;40619.94;41330.62;41518.71;42228.83;81.3;;;10.2;13.3;8.9;12.8;16.2;17.3;;14.2;14.2;;;;;;;;.209;.213;.217;.215;.212;.211;.214;.215;.22;.224;.235;.243;.25;.254;.262;.258;.261;.266;.265;.268;.269;.264;.259;.264;.264;.26;.262;.257;1.7;1.7;1.7;1.7;1.7;1.7;1.6;1.6;1.6;1.7;1.7;1.7;1.7;1.8;1.8;1.8;1.8;1.8;1.8;1.8;1.9;1.9;1.8;1.9;1.9;1.8;1.8;1.8;2.6;2.7;2.7;2.7;2.6;2.6;2.6;2.6;2.6;2.7;2.8;2.8;2.8;2.9;3;3;3;3.1;3.1;3.1;3.2;3.2;3.1;3.2;3.2;3.1;3.2;3.1;1.5;1.5;1.6;1.6;1.6;1.5;1.6;1.6;1.6;1.6;1.7;1.7;1.7;1.7;1.7;1.7;1.7;1.7;1.7;1.7;1.7;1.7;1.7;1.7;1.7;1.7;1.7;1.7;2.9;3;3.1;3;3;3;3;3;3;3.1;3.3;3.4;3.5;3.6;3.7;3.7;3.7;3.8;3.8;3.8;3.9;3.9;3.7;3.8;3.8;3.7;3.8;3.7;4.1;4.2;4.2;4.2;4.2;4.1;4.1;4.1;4.2;4.3;4.6;4.9;5.1;5.2;5.5;5.4;5.4;5.6;5.6;5.7;5.8;5.7;5.5;5.6;5.6;5.4;5.5;5.3;72.4;44.1;15.5;92.5;40.6;51.2;11.3;78.6;93.8;16.3;2.8;3.8;79.3;17.5;12.6;26.9;37.7;74.1;78.3;20.6;4.8;3.1;6;13.1;80.6;77.3;72.8;58.6;91;44.1;15.5
France;FRA;3.6;4.8;1.2;3.8;3.8;;5.3;5.3;;1.4;1.5;;505;496;488;496;505;499;511;496;497;495;493;495;498;499;495;1595460;1698366;1770065;1758833;1829067;1933507;2070454;2186194;2263191;2249681;2342746;2447562;2471785;2608498;2660818;2729183;26210.07;27698.12;28658.52;28276.15;29189.88;30625.93;32567.63;34176.9;35184.23;34795.16;36056.66;37485.25;37671.03;39566.45;40177.24;41037.88;82.8;21.8;;21.8;19.4;15.4;12.9;10.4;;18.7;18.2;18.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;.308;.294;;;;;;;;;;;;;;;;;;;;;;;;;;;1.9;1.9;;;;;;;;;;;;;;;;;;;;;;;;;;;3.6;3.5;;;;;;;;;;;;;;;;;;;;;;;;;;;1.9;1.9;;;;;;;;;;;;;;;;;;;;;;;;;;;4.7;4.4;;;;;;;;;;;;;;;;;;;;;;;;;;;7.7;6.9;;66;42.6;17.1;90.1;41.7;52;7.5;16.2;91.1;55.1;3.5;5.5;76.4;25.1;27.4;22;51.5;99.3;95.5;18.6;7.5;5.6;7.9;15.7;76;87.1;88.7;4.9;86.4;42.6;17.1
United Kingdom;GBR;4.1;5.5;1.4;4.4;4.8;;6.2;6.7;;1.8;1.8;;;;495;494;499;498;;495;492;494;492;515;514;514;509;1533016;1617454;1699800;1783357;1896674;1949435;2089013;2155566;2229260;2142489;2243316;2306167;2387348;2504337;2632676;2722455;26033.63;27362.07;28632.55;29903.54;31637.59;32268.46;34343.51;35153.3;36058.16;34411.96;35744.93;36440.98;37475.05;39065.57;40755.39;41813.17;81.4;17.6;16.2;17.7;19.6;15;15.8;16.3;;18.4;16.7;16.6;;;;;;;;;;;;;;;;;;;;;;;.359;.353;.354;.359;.364;.373;.369;.374;.351;.354;.351;.358;;;;;;;;;;;;;;;;;2.2;2.1;2.1;2.1;2.2;2.2;2.1;2.1;2.1;2;2;2;;;;;;;;;;;;;;;;;4.5;4.5;4.4;4.4;4.6;4.6;4.5;4.5;4.3;4.2;4.2;4.2;;;;;;;;;;;;;;;;;2.1;2.1;2.1;2.1;2.1;2.1;2.1;2.1;2.1;2.1;2.1;2.1;;;;;;;;;;;;;;;;;6.2;6.1;6;6.1;6.4;6.6;6.5;6.5;5.9;5.9;5.9;6;;;;;;;;;;;;;;;;;10.6;10.4;10.3;10.7;11.5;12;12;12;10.4;10.2;10.6;10.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Greece;GRC;;;;;;;;;;;;;474;472;460;483;477;467;445;459;466;453;454;473;470;467;455;210755.2;228231.5;246559.3;260838.9;278865.8;281028.4;314476.4;323504.1;341817.8;337613.7;313653.3;290296.7;279267.3;286427.3;288147.2;285447;19503.91;21011.64;22615.96;23868.66;25455.2;25577.45;28535.86;29280.37;30855.94;30396.42;28202.72;26141.09;25284.41;26121.39;26454.04;26289.05;81.5;;;11.8;9.4;7.8;;;;;44.5;44.5;;;;;;;;;;;;;;;;;;;;;;;;;.333;.346;.339;.33;.329;.331;.337;.335;.34;.343;;;;;;;;;;;;;;;;;;;2.2;2.2;2.2;2.2;2.2;2.2;2.3;2.5;2.5;2.5;;;;;;;;;;;;;;;;;;;4.5;4.8;4.6;4.4;4.4;4.3;4.6;4.8;4.9;5.1;;;;;;;;;;;;;;;;;;;2.1;2.1;2.1;2;2;2;2;2;1.9;2.1;;;;;;;;;;;;;;;;;;;5.7;6;5.8;5.6;5.6;5.6;6;6.2;6.3;6.3;;;;;;;;;;;;;;;;;;;9.6;10;10.1;9.6;9.4;9.6;10.8;12.2;12.2;11.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Hungary;HUN;2.4;3.3;.9;2.6;2.5;;3.8;3.8;;1.2;1.3;;480;482;482;494;488;470;490;491;490;477;477;504;503;494;477;120933.3;134788.3;147463.9;156173.6;163724.8;171624.6;183601.4;190395;206647;206199.8;214666.2;226649.2;228146;241276.3;251761.2;260422.7;11843.46;13230.65;14516.15;15417.62;16198.92;17014.33;18230.04;18933.89;20586.09;20573.38;21466.57;22729.18;22997.74;24388.39;25516.85;26467.62;75.9;;;13;11.5;10.9;11.7;12.5;13.8;15.5;15.1;15.1;28.00991;22.739;31.3583;24.8195;27.73673;27.39866;26.48177;;;;;;;;;;;;;;;;;;;;;;;;;;.289;;.288;;;;;;;;;;;;;;;;;;;;;;;;;;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;;3.8;;3.6;;;;;;;;;;;;;;;;;;;;;;;;;;1.8;;1.8;;;;;;;;;;;;;;;;;;;;;;;;;;4.5;;4.5;;;;;;;;;;;;;;;;;;;;;;;;;;7.3;;7.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Indonesia;IDN;;;;2.8;2.3;;3.6;2.8;;.8;.5;;371;382;393;402;396;397;360;391;371;375;386;393;383;382;403;1065176;1129144;1198064;1280368;1381759;1507407;1639188;1789588;1934424;1998473;2003952;2171519;2344875;2515534;2685309;2842241;5192.638;5428.708;5680.772;5987.475;6372.662;6856.464;7358.969;7931.092;8464.897;8637.562;8432.688;8906.895;9498.651;10067.53;;;68.9;16.9;15.7;17.7;21.4;18.3;18.9;19.8;;;28.4;;41.944;33.6022;39.95959;;36.01878;36.4297;28.15825;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ireland;IRL;4.1;5.2;1.1;4.3;4;;5.7;5.2;;1.4;1.2;;527;515;517;496;523;521;503;501;487;501;504;508;508;522;503;114746;126101.3;138442.9;144816.9;157505.6;168246.1;189091.3;205707.8;198727.1;188523;197096.5;208138.9;213532.3;222344.5;236914.2;318161.1;30162.61;32636.51;35210.7;36231.53;38724.61;40443.92;44285.48;46749.84;44200.51;41532.71;43225.07;45473.43;46519.44;48316.58;51337.49;68536.1;81.4;;;;16.3;;13.9;13.9;;;19.6;;;;;;;;;;;;;;;;;;;;;;;;;;.324;.324;.318;.305;.296;.314;.3;.302;.304;.309;;;;;;;;;;;;;;;;;;;2.2;2.1;2.1;2;2;1.9;2;2;1.9;1.9;;;;;;;;;;;;;;;;;;;4.2;4;4;3.8;3.8;3.9;3.8;3.8;3.8;3.8;;;;;;;;;;;;;;;;;;;1.9;2;1.9;1.9;1.9;2;1.9;1.9;2;2;;;;;;;;;;;;;;;;;;;5.2;5.1;5;4.7;4.5;4.9;4.7;4.7;4.7;4.8;;;;;;;;;;;;;;;;;;;7.9;7.7;7.6;7;6.6;7.9;7.5;7.6;7.4;7.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Iceland;ISL;4.5;6;1.5;4.6;4.6;;6;5.9;;1.3;1.3;;507;492;484;500;483;482;515;506;507;493;488;491;496;478;473;8294.96;9010.118;9255.816;9352.444;10308.67;10968.63;11763.35;12688.04;13546.45;13078.76;12216.17;12590.16;12984.81;13814.86;14513.46;15785.58;29503.68;31608.9;32187.43;32331.2;35232.46;37073.73;38653.27;40745.15;42417.48;40967.13;38414.41;39466.34;40486.43;42670.07;44330.79;47717.96;82.9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;.261;.273;.292;.289;.309;.27;.253;.256;.256;.244;;;;;;;;;;;;;;;;;;;1.7;1.8;1.8;1.8;1.8;1.8;1.7;1.7;1.7;1.7;;;;;;;;;;;;;;;;;;;2.9;3;3.2;3.3;3.3;3.1;2.9;2.9;3;2.9;;;;;;;;;;;;;;;;;;;1.7;1.7;1.8;1.8;1.9;1.8;1.6;1.7;1.7;1.7;;;;;;;;;;;;;;;;;;;3.7;4;4.2;4.2;4.6;3.9;3.6;3.7;3.6;3.4;;;;;;;;;;;;;;;;;;;5.8;6.3;6.7;6.6;7.5;6.2;5.7;5.6;5.5;5;;71.9;44.6;14.3;92.4;54.6;50.9;10.6;44.2;97.1;29.5;5.8;12.3;91.1;28.6;16.1;31.8;44.7;79.3;72;19;7.3;3.2;8.5;15.7;75.5;82.5;74.6;17.5;94.5;44.6;14.3
Israel;ISR;3.8;4.8;.9;4;4.3;;5.6;5.9;;1.6;1.7;;452;;439;474;486;479;;442;447;466;470;454;455;470;467;156779.8;160502.5;165470.5;159050.9;171674.7;172004.2;181063.9;197434;200340.5;205699.2;219987.5;237080;251163.3;276086.1;287194.8;306510;24870.68;24858.29;25105.9;23689.79;25111.12;24708.98;25543.69;27351.11;27253.14;27492.17;28866.71;30539.35;31763.87;34270.86;34972.16;36589.91;82.2;;;;15.5;12.1;11.2;10.6;;;;;26.68084;35.85373;32.67413;28.9613;28.33856;25.96703;24.89632;;;;;;;;;;;;;;;;;;;;;;;;;.371;.371;.36;.365;;;;;;;;;;;;;;;;;;;;;;;;;2.6;2.7;2.7;2.8;;;;;;;;;;;;;;;;;;;;;;;;;5.9;6.1;5.9;5.9;;;;;;;;;;;;;;;;;;;;;;;;;2.3;2.2;2.1;2.1;;;;;;;;;;;;;;;;;;;;;;;;;7.3;7.5;7.6;7.4;;;;;;;;;;;;;;;;;;;;;;;;;12.7;13.7;14.9;13.3;76.3;42.1;16.1;93.6;52.6;48.9;9.8;53.2;97.8;51.5;20.2;23.3;91.1;24.5;22.8;50.5;60.3;99.1;97.9;18.3;5.2;4.3;9.2;12.8;76.6;85.4;77.6;33.7;94.4;42.1;16.1
Italy;ITA;2.9;3.7;.8;3;3;;3.9;4;;.9;1;;487;476;469;486;490;485;466;462;483;485;490;475;489;494;481;1537801;1595089;1634259;1666643;1699880;1742086;1880991;1985918;2082637;2041701;2079199;2158285;2157547;2178287;2206268;2260234;27006.39;27993.94;28621.25;29029.22;29386.91;29937.58;32193.09;33781.36;35154.8;34269.2;34752.01;35935.48;35757.02;35917.82;36293.8;37217.38;83.2;13.3;;13.3;12.4;11.6;12.1;12.5;;;18.8;18.8;21.63487;15.62224;20.67564;18.50096;15.98729;18.97189;14.97741;;;;;;;;;;;;;;;;;;.331;.324;.325;.313;.317;.316;.323;.327;.331;.325;;;;;;;;;;;;;;;;;;;2.2;2.2;2.2;2.1;2.1;2.2;2.3;2.2;2.3;2.3;;;;;;;;;;;;;;;;;;;4.3;4.4;4.3;4.1;4.2;4.2;4.4;4.3;4.4;4.5;;;;;;;;;;;;;;;;;;;2;2;2;1.9;2;1.9;1.9;2;2;1.9;;;;;;;;;;;;;;;;;;;5.6;5.5;5.5;5.2;5.3;5.3;5.7;5.7;5.9;5.8;;;;;;;;;;;;;;;;;;;10;9.6;9.5;8.9;9.1;9.2;10.5;10.6;11.6;11.4;;78.5;48.9;19.8;79.1;55.2;57;10.8;8.1;89.4;49.4;4.5;5.1;75.4;35.9;32.3;46.2;67.9;29.9;73.7;17.3;5;4.2;7.5;13;78.5;95.6;94.9;12.5;94.4;48.9;19.8
Japan;JPN;2.7;3.5;.8;2.9;2.9;;4.5;4.5;;1.5;1.6;;522;498;498;520;538;516;534;523;529;536;532;531;539;547;538;3290079;3377018;3471743;3568591;3753279;3889582;4064563;4264208;4289493;4079275;4323636;4388645;4558489;4731223;4754027;4870962;25940.65;26563.08;27250.72;27959.56;29383.55;30445.64;31794.63;33319.33;33499.89;31860.88;33767.06;34331.62;35738.27;37156.3;37397.94;38418.77;83.7;15.1;;15.1;17.1;13.8;12.8;11.9;;;;;21.83016;28.46246;29.61808;24.90626;24.30024;20.52979;18.57922;;;;;;;;;;;;;;;;;;;;;;;.336;;;.33;;;;;;;;;;;;;;;;;;;;;;;;;2.6;;;2.6;;;;;;;;;;;;;;;;;;;;;;;;;5.2;;;5.1;;;;;;;;;;;;;;;;;;;;;;;;;2;;;2;;;;;;;;;;;;;;;;;;;;;;;;;6.2;;;6.1;;;;;;;;;;;;;;;;;;;;;;;;;10.7;;;10.4;;;39;41.9;17.4;87.8;6;57;4.5;44.2;91.5;83.3;33.2;16.5;83.2;25.9;40.6;41.9;88.6;96.2;98.4;17.7;8.7;4.6;7;14.6;78.3;26;15.6;28.1;85.1;41.9;17.4
Korea;KOR;3.1;4.1;1;3.7;3.6;;6;5.9;;2.3;2.3;;525;534;556;539;536;517;542;547;546;554;524;522;538;538;516;850051.6;908767.5;989824.4;1023674;1103360;1165894;1251054;1354518;1405711;1396414;1505299;1559447;1611273;1648017;1707183;1753733;18083.13;19189.72;20785.02;21389.38;22968.01;24219.83;25863.19;27871.89;28717.87;28392.78;30465.47;31327.4;32222.88;32815.94;33856.55;34647.11;82.2;8.8;5.4;13.6;16.9;16.6;15.5;14.5;;28.8;20.9;19.3;33.58191;35.31228;35.90528;;31.44636;31.57052;28.55345;;;;;;;;;;;;;;;;;;;;;;;;;;.307;.302;.302;;;;;;;;;;;;;;;;;;;;;;;;;;2.5;2.6;2.5;;;;;;;;;;;;;;;;;;;;;;;;;;4.8;4.7;4.7;;;;;;;;;;;;;;;;;;;;;;;;;;1.9;1.8;1.9;;;;;;;;;;;;;;;;;;;;;;;;;;5.5;5.4;5.4;;;;;;;;;;;;;;;;;;;;;;;;;;10.2;10.1;9.9;68.2;42.4;16.4;96.1;13.3;58.8;3.1;89.6;96.8;72.3;18.5;34.3;91.4;24.9;36;55;64.4;100;100;18.8;7.7;3.9;8.2;13.6;76.9;78.3;63.6;66.5;86.6;42.4;16.4
Luxembourg;LUX;2.9;;;3.3;2.9;;3.8;3.5;;.4;.5;;;479;479;472;488;481;493;490;489;490;486;486;484;491;483;24257.04;24479.4;25880.72;26792.48;29073.41;31418.69;36428.71;39847.44;41828.4;40213.18;43235.68;47349.95;48418.02;51822.77;55908.87;58129.06;55511.27;55395.79;57950.57;59236.09;63409.84;67465.51;77032.59;82894.61;85503.68;80716.93;85193.46;91162.77;91096.92;95035.34;100141.3;102213.9;82.3;11.1;;11.1;8.9;10.9;9.8;8.9;;8.8;;;;;;;;;;;;;;;;;;;;;;;;;;;.264;.282;.277;.279;.292;.28;.272;.278;.301;.281;;;;;;;;;;;;;;;;;;;1.9;1.9;1.9;1.8;1.9;1.9;1.8;1.9;1.9;1.9;;;;;;;;;;;;;;;;;;;3.4;3.5;3.4;3.3;3.5;3.5;3.4;3.4;3.6;3.5;;;;;;;;;;;;;;;;;;;1.8;1.8;1.8;1.8;1.8;1.9;1.8;1.8;1.9;1.9;;;;;;;;;;;;;;;;;;;3.9;4.2;4.1;4.1;4.3;4.1;4;4.1;4.5;4.2;;;;;;;;;;;;;;;;;;;5.8;6.6;6;6.1;6.6;6;5.8;5.9;7;6.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Latvia;LVA;3.1;4.1;1;2.9;3.1;;4.2;4.5;;1.4;1.4;;458;491;479;484;489;488;483;486;482;491;482;490;494;502;490;18971.48;21165.14;23263.55;25226.88;27662.18;31001.88;34964.9;39874.37;42310.09;36170.98;36901.56;40660.27;43161.61;45655.82;47619.66;49238.79;8012.916;9053.833;10069.17;11025.31;12223.68;13847.85;15759.45;18116.27;19428.57;16886.64;17594.89;19749.26;21223.72;22682.6;23872.79;24874.98;74.3;10.9;;10.9;11.2;7.6;8.8;10;16.2;23;18.9;18;;;;;;;;;;;;;;;;;;;;;;;;;.363;.392;.353;.376;.374;.356;.348;.353;.347;.352;;;;;;;;;;;;;;;;;;;2.5;2.5;2.4;2.7;2.6;2.3;2.3;2.3;2.2;2.2;;;;;;;;;;;;;;;;;;;5.3;5.8;5.3;6.1;5.8;5.1;5.1;4.9;5;5;;;;;;;;;;;;;;;;;;;2.2;2.3;2.2;2.3;2.2;2.2;2.3;2.2;2.2;2.2;;;;;;;;;;;;;;;;;;;6.8;8;6.4;7.4;7.3;6.6;6.3;6.3;6.2;6.3;;;;;;;;;;;;;;;;;;;12.7;15.2;10.8;12.5;12.4;11.9;11.1;11;10.4;10.9;;88.7;47.1;22;90.8;77;52.9;13;37.8;97.8;35.9;4.1;7;96.1;19.4;12.1;45;62.1;98;100;19.2;6.4;4.6;5.8;9.5;84.5;78.6;83;22.8;91;47.1;22
